,title,episode of,season,episode,rating,votes,original air date,year,plot
106,The Battle of Zaofu,The Legend of Korra,4,6,8.701234567891,721,2014-11-07,2014,"
    Korra returns to her role as the avatar, but is she really ready for action? Bolin and Varrick break away from Kuvira's army.    "
107,Reunion,The Legend of Korra,4,7,8.501234567891,722,2014-11-14,2014,"
    Korra returns to Republic city and team avatar faces their first mission together in 3 years when prince Wu goes missing. Bolin and Varick are on the lam.    "
108,Remembrances,The Legend of Korra,4,8,6.301234567891,855,2014-11-21,2014,"
    Wu begins his exile with Mako's family, and realizes that he knows nothing about his bodyguard. So Mako tells him the story of how he met Korra and their relationship since then, effectively catching the audience up from book 1- now.    "
109,Beyond the Wilds,The Legend of Korra,4,9,8.701234567891,775,2014-11-28,2014,"
    The spirit vines in Republic City start abducting people and it's up to Korra to figure out why.    "
110,Operation Beifong,The Legend of Korra,4,10,9.101234567891,833,2014-12-05,2014,"
    Bolin helps Opal and Lin save the Beifongs from Kuvira. Korra visits the Spirit World looking for help.    "
111,Kuvira's Gambit,The Legend of Korra,4,11,8.901234567891,761,2014-12-12,2014,"
    Korra and Team Avatar try to stop Kuvira from moving against Republic City.    "
112,Day of the Colossus,The Legend of Korra,4,12,9.301234567891,1066,2014-12-19,2014,"
    Team Avatar clashes with Kuvira on the streets of Republic City; Pema and Prince Wu help evacuate innocent citizens.    "
113,The Last Stand,The Legend of Korra,4,13,9.201234567891,1443,2014-12-19,2014,"
    When Korra comes face to face with Kuvira, the fate of the Earth Kingdom and the Avatar's life are at stake.    "
114,Echoes of Thunder,The Dragon Prince,1,1,7.801234567891,350,2018-09-14,2018,"
    As the human kingdom of Katolis braces for an attack by Moonshadow elves, King Harrow makes plans to send sons Callum and Ezran away to a safe place.    "
115,What is Done,The Dragon Prince,1,2,8.001234567891,311,2018-09-14,2018,"
    Determined to make up for her mistake, Rayla sneaks into the castle and corners Callum. Lord Viren offers the king a way to survive the attack.    "
116,Moonrise,The Dragon Prince,1,3,8.501234567891,305,2018-09-14,2018,"
    With night falling, Rayla and the princes race to share what they've found and stop the attack. But first they'll have to get past Claudia.    "
117,Bloodthirsty,The Dragon Prince,1,4,8.101234567891,280,2018-09-14,2018,"
    Excited about his newfound powers, Callum convinces the others to travel to the Banther Lodge for a magic cube. Katolis prepares to crown a new king.    "
118,An Empty Throne,The Dragon Prince,1,5,8.101234567891,275,2018-09-14,2018,"
    Callum struggles to control his magic, General Amaya clashes with Lord Viren, and a trip down the river takes a hair-raising turn.    "
119,Through the ice,The Dragon Prince,1,6,8.101234567891,270,2018-09-14,2018,"
    After a run-in with a soldier, Rayla leads the princes to high ground. Viren gives Soren and Claudia secret orders as they set out on their mission.    "
120,The Dagger and The Wolf,The Dragon Prince,1,7,8.301234567891,275,2018-09-14,2018,"
    In a nearby village, Callum and Ezran seek help for the egg while Rayla hunts down a magic blade. Claudia collects ingredients for a tracking spell.    "
121,Cursed Caldera,The Dragon Prince,1,8,8.401234567891,276,2018-09-14,2018,"
    Ellis leads the friends to the Cursed Caldera but warns it's crawling with nasty monsters. Viren tries to force Runaan to talk.    "
122,Wonderstorm,The Dragon Prince,1,9,8.801234567891,318,2018-09-14,2018,"
    Ezran, Callum and Rayla each put their special talents to use as they make their way up the mountain in a desperate bid to save the egg.    "
123,A Secret and a Spark,The Dragon Prince,2,1,7.801234567891,205,2019-02-15,2019,"
    Callum, Ezran and Rayla go with Lujanne. As Callum asks Lujanne to teach him magic and Ezran tries to teach Zym how to fly, Rayla senses danger approaching.    "
124,Half Moon Lies,The Dragon Prince,2,2,8.201234567891,193,2019-02-15,2019,"
    After a fierce showdown with Rayla, Soren and Claudia argue about the best way to deal with the princes. Rayla worries she's kept a secret too long.    "
125,Smoke and Mirrors,The Dragon Prince,2,3,8.301234567891,186,2019-02-15,2019,"
    Callum searches for a way to tell Ezran the sad news, and Rayla sets a trap for Claudia and Soren. Viren watches a mysterious figure in the mirror.    "
126,Voyage of the Ruthless,The Dragon Prince,2,4,8.301234567891,172,2019-02-15,2019,"
    After saying goodbye to Phoe-Phoe, the gang teams up with a pirate to cross a bay, where Callum tries to forge a connection with the sky arcanum.    "
127,Breaking the Seal,The Dragon Prince,2,5,8.301234567891,182,2019-02-15,2019,"
    At the summit of the five kingdoms, Viren fights to win the support of a young queen. Flashbacks reveal a key moment from King Harrow's reign.    "
128,Heart of a Titan,The Dragon Prince,2,6,8.701234567891,189,2019-02-15,2019,"
    The attack on the Magma Titan has devastating consequences for two kingdoms. In his letter, Harrow shares a lie, a secret and a wish for the princes.    "
129,Fire and Fury,The Dragon Prince,2,7,8.501234567891,170,2019-02-15,2019,"
    When Soren picks a fight with a dragon, chaos breaks out and Rayla faces a difficult decision. A defeated Viren returns to the figure in the mirror.    "
130,The Book of Destiny,The Dragon Prince,2,8,8.601234567891,171,2019-02-15,2019,"
    Callum pays a price for dabbling in dark magic. Claudia searches desperately for a way to help Soren, and Ezran makes a heartbreaking discovery.    "
131,Breathe,The Dragon Prince,2,9,9.101234567891,198,2019-02-15,2019,"
    After using his gift to help Claudia, Ezran makes an important decision about the quest. Callum wakes up with a new understanding of primal magic.    "
