,episode,episode of,original air date,plot,rating,season,title,votes,year
132,2,Rick and Morty,2017-07-30,"
    With the kids dealing with their parents' divorce, Rick takes them to a Mad Max-style universe where he tries to steal a green crystal from a group of scavengers.    ",8.201234567891,3,Rickmancing the Stone,7558.0,2017
133,3,Rick and Morty,2017-08-06,"
    Rick turns himself into a pickle while Beth, Summer, and Morty go to family therapy.    ",9.301234567891,3,Pickle Rick,11279.0,2017
134,4,Rick and Morty,2017-08-13,"
    Rick and Morty are summoned by the Vindicators to stop Worldender but end up in a deathtrap conceived by Drunk Rick.    ",8.201234567891,3,Vindicators 3: The Return of Worldender,7142.0,2017
135,5,Rick and Morty,2017-08-20,"
    Rick takes Jerry on a sympathy adventure to a resort where everyone is immortal when there, and Jerry meets some old acquaintances of Rick's who want payback.    ",8.601234567891,3,The Whirly Dirly Conspiracy,6724.0,2017
136,6,Rick and Morty,2017-08-27,"
    Following a stressful adventure, Rick and Morty go on a break to a spa where they remove their toxins, which in turn take a form of their own.    ",9.001234567891,3,Rest and Ricklaxation,7238.0,2017
137,7,Rick and Morty,2017-09-10,"
    Whilst Rick and Morty go off to adventure in Atlantis, we take a look at how the Citadel has rebuilt itself since both Rick and Morty visited.    ",9.801234567891,3,The Ricklantis Mixup,20663.0,2017
138,8,Rick and Morty,2017-09-17,"
    Rick reveals to Morty his ""Morty's mind blowers,"" a collection of memories Morty asked Rick to erase from his mind.    ",8.901234567891,3,Morty's Mind Blowers,6656.0,2017
139,9,Rick and Morty,2017-09-24,"
    Rick brings Beth to a world he created for her when she was younger while Beth looks for a long-lost childhood friend trapped there for years.    ",8.001234567891,3,The ABC's of Beth,5508.0,2017
140,10,Rick and Morty,2017-10-01,"
    Rick and Morty are called upon by the president to kill a vicious alien in the secret tunnels under the White House.    ",8.201234567891,3,The Rickchurian Mortydate,5528.0,2017
141,1,Rick and Morty,2019-11-01,"
    Plot is unknown at this time    ",,4,Episode #4.1,,2019
142,2,Rick and Morty,,"
  Know what this is about?
 Be the first one to add a plot.
    ",,4,Episode #4.2,,
143,3,Rick and Morty,,"
  Know what this is about?
 Be the first one to add a plot.
    ",,4,Episode #4.3,,
144,4,Rick and Morty,,"
  Know what this is about?
 Be the first one to add a plot.
    ",,4,Episode #4.4,,
145,5,Rick and Morty,,"
  Know what this is about?
 Be the first one to add a plot.
    ",,4,Episode #4.5,,
146,6,Rick and Morty,,"
  Know what this is about?
 Be the first one to add a plot.
    ",,4,Episode #4.6,,
147,7,Rick and Morty,,"
  Know what this is about?
 Be the first one to add a plot.
    ",,4,Episode #4.7,,
148,8,Rick and Morty,,"
  Know what this is about?
 Be the first one to add a plot.
    ",,4,Episode #4.8,,
149,9,Rick and Morty,,"
  Know what this is about?
 Be the first one to add a plot.
    ",,4,Episode #4.9,,
150,10,Rick and Morty,,"
  Know what this is about?
 Be the first one to add a plot.
    ",,4,Episode #4.10,,
